Title,Chemical_Name,MW,clogP,TPSA,Acceptor,Donor,RotBonds
F0481-0378,3-(piperidin-2-yl)pyridine hydrochloride,162.23,1,24.92,1,2,1
F6477-5328,"1-({2-[(3-methylpyridin-2-yl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",302.35,1.13,103.43,4,2,4
F6481-0809,"1-{2-[7-(2-chlorophenyl)-1,4-thiazepan-4-yl]-2-oxoethyl}pyrrolidine-2,5-dione",366.86,2.23,82.99,3,0,4
F6525-0231,"3,5-dimethyl-N-({2-methyl-2H,4H,5H,6H-cyclopenta[c]pyrazol-3-yl}methyl)benzamide",283.37,2.5,46.92,2,1,3
F3259-0263,"1,3-dimethyl-7-(2-methylpropyl)-2,3,6,7-tetrahydro-1H-purine-2,6-dione",236.27,1.42,58.44,3,1,2
F6511-9308,"2-{1-[2-chloro-5-(trifluoromethyl)phenyl]-1H-1,2,3-triazol-4-yl}ethan-1-ol",291.65,2.6,50.94,3,1,3
F6572-1379,"2-[1-(2-chlorophenyl)-1H-1,2,3-triazol-4-yl]ethan-1-ol",223.66,1.53,50.94,3,1,3
F6525-0151,"2-(3-methoxyphenyl)-N-({2-methyl-2H,4H,5H,6H-cyclopenta[c]pyrazol-3-yl}methyl)acetamide",299.37,1.31,56.15,3,1,5
F8889-6491,4-(ethoxycarbonyl)benzoic acid,194.18,2.56,63.6,4,0,4
F6477-5330,"1-({2-[(pyridin-3-yl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",288.32,0.64,103.43,5,2,4
F6477-5326,"1-({2-[(4-methylpyridin-3-yl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",302.35,1.13,103.43,5,2,4
F3259-0270,"7-[(2E)-but-2-en-1-yl]-1,3-dimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",234.25,1.26,58.44,3,1,2
F6451-0590,"2-(2,5-dioxopyrrolidin-1-yl)-N-[2-methoxy-2-(5-methylthiophen-2-yl)ethyl]acetamide",310.37,1,103.95,4,1,6
F6440-2748,"N-[(1-cyclopentyl-4,5,6,7-tetrahydro-1H-indazol-3-yl)methyl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",358.43,1.34,84.3,4,1,5
F6359-1029,"1-(2-{4-[(3-chloropyridin-2-yl)oxy]piperidin-1-yl}-2-oxoethyl)pyrrolidine-2,5-dione",351.78,0.77,79.81,5,1,5
F6473-3588,"1-{1-[2-(trifluoromethyl)benzoyl]azetidin-3-yl}pyrrolidine-2,5-dione",326.27,1.27,57.69,3,0,3
F2168-0005,2-(methylsulfanyl)pyridine-3-carboxylic acid,169.2,1.24,75.49,3,1,2
F6525-0198,"N-({2-methyl-2H,4H,5H,6H-cyclopenta[c]pyrazol-3-yl}methyl)-2-(trifluoromethoxy)benzamide",339.31,2.74,56.15,3,1,4
F6473-3564,"1-[1-(2-chloro-4-fluorobenzoyl)azetidin-3-yl]pyrrolidine-2,5-dione",310.71,1.21,57.69,3,0,3
F6374-1422,"1-[2-(4-{[(1-methyl-1H-imidazol-2-yl)sulfanyl]methyl}piperidin-1-yl)-2-oxoethyl]pyrrolidine-2,5-dione",350.44,0.53,100.81,4,1,6
F3260-0883,"1-ethyl-3,7-dimethyl-8-(pyrrolidin-1-yl)-2,3,6,7-tetrahydro-1H-purine-2,6-dione",277.32,1.31,61.68,3,2,2
F6617-2074,"4-cyclopropyl-1-(4-methylphenyl)-1H-1,2,3-triazole",199.25,2.9,30.71,2,0,2
F6617-2428,"4-cyclopropyl-1-phenyl-1H-1,2,3-triazole",185.23,2.4,25.11,2,0,2
F6473-3650,"1-{1-[3-(2-bromophenyl)propanoyl]azetidin-3-yl}pyrrolidine-2,5-dione",365.22,1.63,57.69,3,0,5
F6473-3772,"1-[1-(1H-indole-3-carbonyl)azetidin-3-yl]pyrrolidine-2,5-dione",297.31,0.65,73.48,3,1,3
F6473-3536,"1-{1-[2-(4-fluorophenyl)acetyl]azetidin-3-yl}pyrrolidine-2,5-dione",290.29,0.87,57.69,3,0,4
F6451-1112,"2-(2,5-dioxopyrrolidin-1-yl)-N-[2-(3-fluorophenyl)-2-methoxyethyl]acetamide",308.3,0.99,75.71,4,1,6
F6359-5407,"1-(2-{4-[(6-methylpyridin-2-yl)oxy]piperidin-1-yl}-2-oxoethyl)pyrrolidine-2,5-dione",331.37,0.74,79.81,5,1,5
F6473-3845,"N-(3,4-dichlorophenyl)-3-(2,5-dioxopyrrolidin-1-yl)azetidine-1-carboxamide",342.18,2,69.72,3,1,3
F6617-2177,"1-phenyl-4-(propan-2-yl)-1H-1,2,3-triazole",187.24,2.89,30.71,2,0,2
F6473-3893,"1-[1-(cyclohexanesulfonyl)azetidin-3-yl]pyrrolidine-2,5-dione",300.37,1.12,83.14,4,0,3
F6473-3555,"1-{1-[2-(2-methylphenoxy)acetyl]azetidin-3-yl}pyrrolidine-2,5-dione",302.33,1.35,66.92,4,0,5
F6473-3854,"N-(4-tert-butylphenyl)-3-(2,5-dioxopyrrolidin-1-yl)azetidine-1-carboxamide",329.39,2.12,69.72,3,1,3
F2477-0096,"1,3-dimethyl-8-(methylamino)-7-(2-methylpropyl)-2,3,6,7-tetrahydro-1H-purine-2,6-dione",265.31,1.97,70.47,3,2,3
F9994-5206,4-(3-methylphenyl)-4-oxobutanoic acid,192.21,1.75,54.37,3,0,4
F6184-0072,"1-{2-oxo-2-[4-(thiophen-2-yl)piperidin-1-yl]ethyl}pyrrolidine-2,5-dione",306.38,1.15,85.93,3,0,4
F6477-5320,"1-({2-[(2-fluorophenyl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",305.33,2.04,90.54,4,1,4
F6473-3532,"1-[1-(2-phenoxyacetyl)azetidin-3-yl]pyrrolidine-2,5-dione",288.3,0.86,66.92,4,0,5
F6473-3558,"1-{1-[2-(2-fluorophenoxy)acetyl]azetidin-3-yl}pyrrolidine-2,5-dione",306.29,0.94,66.92,4,0,5
F6525-0002,"4-(diethylamino)-N-({2-methyl-2H,4H,5H,6H-cyclopenta[c]pyrazol-3-yl}methyl)benzamide",326.44,2.92,50.16,3,2,6
F6452-0068,"2-(2,5-dioxopyrrolidin-1-yl)-N-[2-(2-fluorophenyl)-2-methoxypropyl]acetamide",322.33,1.39,75.71,4,1,6
F2477-0097,"8-(dimethylamino)-1,3-dimethyl-7-(2-methylpropyl)-2,3,6,7-tetrahydro-1H-purine-2,6-dione",279.34,2.12,61.68,3,2,3
F6477-5337,"1-{[2-(benzylamino)-1,3-thiazol-4-yl]methyl}pyrrolidine-2,5-dione hydrochloride",301.36,1.31,90.54,3,1,5
F6619-8934,3-(phenoxymethyl)oxolane,178.23,2.24,18.46,2,0,3
F1909-1624,[3-(2-methoxyphenoxy)propyl](methyl)amine hydrochloride,195.25,1.66,30.49,2,1,6
F6477-5322,"1-({2-[(3,4-difluorophenyl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",323.32,2.13,90.54,4,1,4
F5577-0010,"6-fluoro-1-methyl-4-oxo-7-(piperidin-1-yl)-1,4-dihydroquinoline-3-carboxylic acid",304.32,2.36,60.85,5,2,2
F6473-3602,"1-{1-[2-(4-chlorophenoxy)-2-methylpropanoyl]azetidin-3-yl}pyrrolidine-2,5-dione",350.8,2.33,66.92,4,0,5
F6374-0166,"1-(2-oxo-2-{4-[(pyridin-2-ylsulfanyl)methyl]piperidin-1-yl}ethyl)pyrrolidine-2,5-dione",347.43,1.18,95.88,4,1,6
F6619-8931,3-(phenoxymethyl)oxane,192.26,2.67,18.46,2,0,3
F6473-3572,"1-{1-[2-(4-ethoxyphenyl)acetyl]azetidin-3-yl}pyrrolidine-2,5-dione",316.35,1.18,66.92,4,0,6
F0001-1304,"3,5-dimethoxyphenol",154.16,1.6,38.69,3,1,2
F2147-1619,4-(1H-indol-3-yl)pyrrolidin-2-one,200.24,0.58,44.89,1,2,1
F6442-1092,"1-{2-[3-(cyclohexanesulfonyl)azetidin-1-yl]-2-oxoethyl}pyrrolidine-2,5-dione",342.41,1.29,100.21,5,0,5
F6477-5331,"1-({2-[(4-methylphenyl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",301.36,2.34,90.54,4,1,4
F2189-0857,2-amino-1-(4-ethylphenyl)ethan-1-ol,165.23,1.3,46.25,1,2,3
F5577-0021,"6-fluoro-1-methyl-7-(morpholin-4-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",306.29,0.97,70.08,6,2,2
F6473-3573,"1-[1-(adamantane-1-carbonyl)azetidin-3-yl]pyrrolidine-2,5-dione",316.39,1.33,57.69,3,0,3
F5822-0970,"1-[2-oxo-2-(4-{[2-(propan-2-yl)-1H-imidazol-1-yl]methyl}piperidin-1-yl)ethyl]pyrrolidine-2,5-dione",346.42,0.58,75.51,4,1,6
F6359-5009,"1-(2-{4-[(3-bromopyridin-2-yl)oxy]piperidin-1-yl}-2-oxoethyl)pyrrolidine-2,5-dione",396.24,0.92,79.81,5,1,5
F6473-3860,"N-[(4-chlorophenyl)methyl]-3-(2,5-dioxopyrrolidin-1-yl)azetidine-1-carboxamide",321.76,1.57,69.72,3,1,4
F3325-0151,"3-(4-phenylpiperazin-1-yl)-1-propylpyrrolidine-2,5-dione",301.38,3.41,43.86,3,2,4
F6477-5317,"1-({2-[(3-fluoro-4-methoxyphenyl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",335.35,1.81,99.77,5,1,5
F6477-5325,"1-({2-[(4-fluoro-3-methoxyphenyl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",335.35,1.81,99.77,5,1,5
F5103-0371,"2-(2,5-dioxopyrrolidin-1-yl)-N-[2-(thiophen-3-yl)ethyl]acetamide",266.32,0.5,94.72,3,1,5
F9995-0937,3-(4-propoxyphenyl)propanoic acid,208.25,2.88,46.53,3,0,6
F6477-5318,"1-({2-[(2,4-difluorophenyl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",323.32,2.2,90.54,4,1,4
F6477-5321,"1-({2-[(2,5-difluorophenyl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",323.32,2.2,90.54,4,1,4
F6477-5324,"1-({2-[(4-methoxy-2-methylphenyl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",331.39,2.28,99.77,5,1,5
F6477-5327,"1-({2-[(2,6-difluorophenyl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",323.32,2.2,90.54,4,1,4
F6359-0631,"1-[2-oxo-2-(4-{[5-(trifluoromethyl)pyridin-2-yl]oxy}piperidin-1-yl)ethyl]pyrrolidine-2,5-dione",385.34,1.22,79.81,5,1,5
F9994-5470,3-(2-aminopropyl)phenol hydrobromide,151.2,1.07,46.25,1,2,2
F6663-4248,1-cyclobutyl-4-(3-fluoro-4-methylbenzoyl)piperazine,276.34,2.75,23.55,1,1,3
F5831-9803,"2-(2,5-dioxopyrrolidin-1-yl)-N-{[1-(thiophen-2-yl)cyclopropyl]methyl}acetamide",292.35,0.93,94.72,3,1,5
F2147-0872,4-(2-methoxyethoxy)phenol,168.19,1.46,38.69,3,1,4
F6188-0566,"2-(2,5-dioxopyrrolidin-1-yl)-N-{[4-(phenylsulfanyl)oxan-4-yl]methyl}acetamide",362.44,1.08,101.01,4,1,6
F2477-0098,"8-(ethylamino)-1,3-dimethyl-7-(2-methylpropyl)-2,3,6,7-tetrahydro-1H-purine-2,6-dione",279.34,2.5,70.47,3,2,4
F3260-0381,"7-ethyl-1,3-dimethyl-8-[(2-methylpropyl)amino]-2,3,6,7-tetrahydro-1H-purine-2,6-dione",279.34,2.5,70.47,3,2,4
F6414-1061,"2-(2,5-dioxopyrrolidin-1-yl)-N-[(2-hydroxy-1,2,3,4-tetrahydronaphthalen-2-yl)methyl]acetamide",316.35,0.96,86.71,4,2,4
F6617-2447,N-methyl-1H-indole-3-carboxamide,174.2,1.11,44.89,1,2,1
F6110-1919,"1-{[1-(2,6-difluorobenzoyl)piperidin-4-yl]methyl}-2,4-dimethylpiperazine; bis(formic acid)",351.43,1.07,26.79,3,2,4
F9995-0149,"2-{[(benzyloxy)carbonyl]amino}-3,3-dimethylbutanoic acid",265.31,2.95,75.63,4,1,5
F6473-3542,"1-[1-(1-benzofuran-2-carbonyl)azetidin-3-yl]pyrrolidine-2,5-dione",298.29,0.81,70.83,4,0,3
F6110-1920,"1-{[1-(2,4-difluorobenzoyl)piperidin-4-yl]methyl}-2,4-dimethylpiperazine",351.43,1.07,26.79,3,2,4
F6451-1634,"2-(2,5-dioxopyrrolidin-1-yl)-N-[2-methoxy-2-(2-methylphenyl)ethyl]acetamide",304.34,1.3,75.71,4,1,6
F6110-1885,"1-{[1-(2-fluorobenzoyl)piperidin-4-yl]methyl}-2,4-dimethylpiperazine; bis(formic acid)",333.44,0.9,26.79,3,2,4
F8887-5762,"5-bromo-2,3-dihydro-1H-indol-2-one",212.04,1.83,29.1,1,1,0
F2124-0810,"5,6,7,8-tetrahydronaphthalene-2-carboxylic acid",176.21,3.46,37.3,2,0,1
F2145-0647,"3-bromo-5-(3-methyl-1,2,4-oxadiazol-5-yl)pyridine",240.06,1.36,51.81,4,1,1
F6477-5319,"1-({2-[(2,4-dimethoxyphenyl)amino]-1,3-thiazol-4-yl}methyl)pyrrolidine-2,5-dione hydrochloride",347.39,1.76,109,6,1,6
F6471-5845,"N-(3,4-dichlorophenyl)-4-(1H-1,2,3-triazol-1-yl)piperidine-1-carboxamide",340.21,1.71,63.05,3,1,3
F6473-3901,"1-[1-(3,4-dimethylbenzenesulfonyl)azetidin-3-yl]pyrrolidine-2,5-dione",322.38,1.71,83.14,4,0,3
F3260-0380,"8-(butylamino)-7-ethyl-1,3-dimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",279.34,2.63,70.47,3,2,5
F6473-3909,"1-[1-(4-fluoro-2-methylbenzenesulfonyl)azetidin-3-yl]pyrrolidine-2,5-dione",326.34,1.41,83.14,4,0,3
F6473-3910,"1-[1-(4-fluoro-3-methylbenzenesulfonyl)azetidin-3-yl]pyrrolidine-2,5-dione",326.34,1.41,83.14,4,0,3
F2189-0836,2-amino-1-(4-methylphenyl)ethan-1-ol,151.21,0.77,46.25,1,2,2
F6473-3858,"N-(4-butoxyphenyl)-3-(2,5-dioxopyrrolidin-1-yl)azetidine-1-carboxamide",345.39,1.98,78.95,4,1,7
F6414-2055,"2-(2,5-dioxopyrrolidin-1-yl)-N-{2-hydroxy-2-[4-(methylsulfanyl)phenyl]ethyl}acetamide",322.38,0.56,112.01,4,2,6
F6439-5046,"2-(2,5-dioxopyrrolidin-1-yl)-N-{2-[3-(thiophen-2-yl)-1H-pyrazol-1-yl]ethyl}acetamide",332.38,1.32,112.54,4,1,6
F6440-2354,"2-methoxy-N-[(1-methyl-4,5,6,7-tetrahydro-1H-indazol-3-yl)methyl]benzamide",299.37,2.19,56.15,3,1,4
F6451-2156,"2-(2,5-dioxopyrrolidin-1-yl)-N-[2-methoxy-2-(3-methoxyphenyl)ethyl]acetamide",320.34,0.77,84.94,5,1,7
F6473-3623,"1-{1-[4-(thiophen-3-yl)benzoyl]azetidin-3-yl}pyrrolidine-2,5-dione",340.4,1.82,85.93,3,0,4
F6170-0105,7-hydroxy-4H-chromen-4-one,162.14,1.11,46.53,3,1,0
F6473-3880,"N-[(3,4-dimethoxyphenyl)methyl]-3-(2,5-dioxopyrrolidin-1-yl)azetidine-1-carboxamide",347.37,0.52,88.18,5,1,6
F1918-0023,2-[(4-hydroxyphenyl)formamido]acetic acid,195.17,0.33,86.63,4,2,3
F6440-2328,"2-methyl-N-[(1-methyl-4,5,6,7-tetrahydro-1H-indazol-3-yl)methyl]benzamide",283.37,2.22,46.92,2,1,3
F3234-0943,"3-ethyl-1,7-dimethyl-1H,2H,3H,4H,8H-imidazo[1,2-g]purine-2,4-dione",247.25,1.3,73.71,3,1,1
F6440-2355,"3-methoxy-N-[(1-methyl-4,5,6,7-tetrahydro-1H-indazol-3-yl)methyl]benzamide",299.37,2.26,56.15,3,1,4
F6469-0994,"2-(2,5-dioxopyrrolidin-1-yl)-N-[2-(2-methyl-1,3-thiazol-4-yl)phenyl]acetamide",329.37,0.7,107.61,4,1,4
F5027-0654,"1-(2-oxo-2-{2-[4-(trifluoromethyl)phenyl]morpholin-4-yl}ethyl)pyrrolidine-2,5-dione",370.32,1.75,66.92,4,0,4
F6287-0440,"2-(2,5-dioxopyrrolidin-1-yl)-N-{2-[1-methyl-4-(thiophen-2-yl)-1H-imidazol-2-yl]ethyl}acetamide",346.4,0.69,112.54,4,2,6
F2185-0115,"3-[3-(4-chlorophenyl)-1,2,4-oxadiazol-5-yl]propan-1-amine hydrochloride",237.69,1.75,64.94,3,1,4
F2185-0117,"3-[3-(2-chlorophenyl)-1,2,4-oxadiazol-5-yl]propan-1-amine hydrochloride",237.69,1.5,64.94,3,1,4
F6395-3665,"1-[2-(2-benzylmorpholin-4-yl)-2-oxoethyl]pyrrolidine-2,5-dione",316.35,1.39,66.92,4,0,5
F3260-0895,"1-ethyl-3,7-dimethyl-8-(pentylamino)-2,3,6,7-tetrahydro-1H-purine-2,6-dione",293.36,3.16,70.47,3,2,6
F6110-1934,"1-{4-[(2,4-dimethylpiperazin-1-yl)methyl]piperidin-1-yl}-2-(4-methylphenoxy)ethan-1-one",359.51,1.55,36.02,4,2,6
F6403-1733,"N-{2-[2-(3,5-dimethyl-1H-pyrazol-1-yl)-1,3-thiazol-4-yl]ethyl}-2-(2,5-dioxopyrrolidin-1-yl)acetamide",361.42,0.64,125.43,5,1,6
F2185-0121,"3-[3-(4-methoxyphenyl)-1,2,4-oxadiazol-5-yl]propan-1-amine hydrochloride",233.27,1.07,74.17,4,1,5
F6401-0065,"2-[2,6-dioxo-4-(thiophen-2-yl)piperidin-1-yl]-N-(5-methyl-1,2-oxazol-3-yl)acetamide",333.36,1.66,120.75,5,1,4
F3205-0055,"1-methyl-3-(4-phenylpiperazin-1-yl)pyrrolidine-2,5-dione",273.33,2.35,43.86,3,2,2
F6419-0068,"1-{2-[2-(3,5-dichlorophenyl)morpholin-4-yl]-2-oxoethyl}pyrrolidine-2,5-dione",371.22,2.29,66.92,4,0,4
F6473-3923,"1-[1-(2-ethoxybenzenesulfonyl)azetidin-3-yl]pyrrolidine-2,5-dione",338.38,0.98,92.37,5,0,5
F6439-2365,"N-{2-[5-cyclopropyl-3-(pyridin-4-yl)-1H-pyrazol-1-yl]ethyl}-2-(2,5-dioxopyrrolidin-1-yl)acetamide",367.4,0.75,97.19,5,2,7
F6110-1933,"1-{4-[(2,4-dimethylpiperazin-1-yl)methyl]piperidin-1-yl}-2-(3-methylphenoxy)ethan-1-one",359.51,1.55,36.02,4,2,6
F6442-2664,"1-{2-[3-(4-chlorobenzenesulfonyl)azetidin-1-yl]-2-oxoethyl}pyrrolidine-2,5-dione",370.81,1.65,100.21,5,0,5
F1902-0099,7-bromo-4H-chromen-4-one,225.04,2.25,26.3,2,0,0
F0902-3042,"3-(4-benzylpiperazin-1-yl)-1-methylpyrrolidine-2,5-dione",287.36,2.64,43.86,4,2,3
F3164-0800,"3-methyl-7-nonyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",292.38,3.56,67.23,3,2,8
F5610-0162,"3-[3-(azepan-1-yl)-3-oxopropyl]-2,3,4,5-tetrahydro-1H-1,4-benzodiazepine-2,5-dione",329.39,0.56,78.51,3,2,4
F5610-0202,"3-[3-(3-methylpiperidin-1-yl)-3-oxopropyl]-2,3,4,5-tetrahydro-1H-1,4-benzodiazepine-2,5-dione",329.39,0.52,78.51,3,2,4
F6442-6647,"N-(3,4-dichlorophenyl)-4-methoxy-[1,4'-bipiperidine]-1'-carboxamide",386.32,1.99,44.81,2,2,4
F5033-0010,N-[(1-methylpiperidin-4-yl)methyl]-2-phenoxyacetamide,262.35,1.5,41.57,2,2,5
F6439-0450,"2-(2,5-dioxopyrrolidin-1-yl)-N-{2-[3-(pyridin-4-yl)-4,5,6,7-tetrahydro-1H-indazol-1-yl]ethyl}acetamide",381.43,1.14,97.19,5,2,6
F6473-3924,"1-[1-(4-methoxy-3-methylbenzenesulfonyl)azetidin-3-yl]pyrrolidine-2,5-dione",338.38,1.43,92.37,5,0,4
F6440-2434,"N-[(1-methyl-4,5,6,7-tetrahydro-1H-indazol-3-yl)methyl]-3-(trifluoromethyl)benzamide",337.34,3.29,46.92,2,1,3
F5658-0167,"1-{2-[(3-oxo-2,3-dihydro-1H-inden-5-yl)oxy]acetyl}piperidine-4-carboxamide",316.35,-0.4,89.7,4,1,5
F0908-3954,2-(phenylsulfanyl)acetic acid,168.21,1.88,62.6,2,0,3
F6395-4299,"N-(3,4-dichlorophenyl)-1,9-dioxa-4-azaspiro[5.5]undecane-4-carboxamide",345.22,2.11,50.8,3,1,2
F6473-3906,"1-[1-(3-methoxybenzenesulfonyl)azetidin-3-yl]pyrrolidine-2,5-dione",324.35,0.94,92.37,5,0,4
F3115-0062,"1-(4-ethylphenyl)-3-[2-(morpholin-4-yl)cyclohex-2-en-1-yl]pyrrolidine-2,5-dione",368.47,2.48,49.85,3,1,4
F5967-0071,"2-(2,5-dioxopyrrolidin-1-yl)-N-{2-oxo-9-oxa-1-azatricyclo[10.4.0.0^{3,8}]hexadeca-3,5,7-trien-5-yl}acetamide",385.41,0.72,96.02,5,1,3
F6473-3944,"1-[1-(3-chloro-4-methoxybenzenesulfonyl)azetidin-3-yl]pyrrolidine-2,5-dione",358.8,1.47,92.37,5,0,4
F3229-0039,"N-(3,4-dimethylphenyl)-2-(2,5-dioxopyrrolidin-1-yl)acetamide",260.29,1.56,66.48,3,1,3
F6464-0017,N-[4-(methylsulfanyl)-1-oxo-1-(3-phenylazepan-1-yl)butan-2-yl]acetamide,348.5,2.27,74.71,2,1,7
F6412-2278,"N-[4-(2H-1,3-benzodioxol-5-yloxy)but-2-yn-1-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",344.32,1.66,94.17,6,1,6
F5857-3829,"2-(2,5-dioxopyrrolidin-1-yl)-N-[2-hydroxy-3-(4-methoxyphenyl)-2-methylpropyl]acetamide",334.37,0.62,95.94,5,2,7
F6440-2409,"3-(4-methoxyphenyl)-N-[(1-methyl-4,5,6,7-tetrahydro-1H-indazol-3-yl)methyl]propanamide",327.42,2.19,56.15,3,1,6
F6200-3035,"2-(2,5-dioxopyrrolidin-1-yl)-N-[2-hydroxy-2-(1-methyl-1H-indol-3-yl)ethyl]acetamide",329.35,0.46,91.64,4,2,5
F6349-1297,"2-(2,5-dioxopyrrolidin-1-yl)-N-(4-{5H,6H,7H-pyrrolo[1,2-a]imidazol-3-yl}phenyl)acetamide",338.36,1.01,84.3,4,2,4
F3023-0916,"3-[4-(4-fluorophenyl)piperazin-1-yl]-1-(propan-2-yl)pyrrolidine-2,5-dione",319.37,3.5,43.86,3,2,3
F3205-0008,"1-(4-methylphenyl)-3-[2-(piperidin-1-yl)cyclohex-2-en-1-yl]pyrrolidine-2,5-dione",352.47,3.46,40.62,2,1,3
F5882-3200,"N-(3,4-dichlorophenyl)-4-(2-oxopyrrolidin-1-yl)piperidine-1-carboxamide",356.25,1.75,52.65,2,1,3
F3228-0187,"3-(2,4-dihydroxyphenyl)propanoic acid",182.17,0.52,77.76,4,2,3
F1130-0019,2-[(4-fluorophenyl)formamido]propanoic acid,211.19,1.31,66.4,3,1,3
F1799-0234,"1-(4-bromophenyl)-3-(piperidin-1-yl)pyrrolidine-2,5-dione",337.21,3.51,40.62,2,1,2
